Date,Price_Gold
2024-08,85300.9062
2024-07,81161.125
2024-06,76229.5312
2024-05,75024.6562
2024-04,74120.9688
2024-03,72502.5312
2024-02,64051.3203
2024-01,61939.2266
2023-12,60694.0703
2023-11,58888.0625
2023-10,56199.0469
2023-09,50793.8008
2023-08,51906.9062
2023-07,52952.3047
2023-06,49939.1836
2023-05,40968.4492
2023-04,38754.4922
2023-03,37803.9531
2023-02,34502.4492
2023-01,36290.2031
2022-12,34146.5352
2022-11,32928.8984
2022-10,30417.3223
2022-09,30812.457
2022-08,31138.1289
2022-07,31601.2168
2022-06,30402.6992
2022-05,30316.3105
2022-04,28283.9141
2022-03,28454.2598
2022-02,26475.2637
2022-01,23953.3223
2021-12,24315.1211
2021-11,23937.5527
2021-10,17144.0117
2021-09,15637.3223
2021-08,15091.1719
2021-07,15343.832
2021-06,15420.2324
2021-05,16192.7822
2021-04,14676.792
2021-03,14073.8818
2021-02,12893.9824
2021-01,13516.542
2020-12,14129.9619
2020-11,13911.6523
2020-10,15673.6816
2020-09,14551.5117
2020-08,14462.6719
2020-07,13770.6924
2020-06,12207.9521
2020-05,11806.251
2020-04,11789.5605
2020-03,10431.2314
2020-02,9904.7666
2020-01,9510.2354
2019-12,9029.1104
2019-11,8414.9043
2019-10,8647.9297
2019-09,8317.5811
2019-08,8874.4736
2019-07,7887.3101
2019-06,8164.646
2019-05,7629.1519
2019-04,7654.9912
2019-03,7220.0591
2019-02,7009.2339
2019-01,6823.1699
2018-12,6783.7778
2018-11,6377.7681
2018-10,6783.6099
2018-09,7220.2129
2018-08,7857.4741
2018-07,6011.5503
2018-06,5749.3276
2018-05,5880.8779
2018-04,5342.4746
2018-03,5251.2583
2018-02,5008.9707
2018-01,5051.7505
