Date,Price_Stock_Ex
2024-08,9833.22
2024-07,10638.58
2024-06,10647.91
2024-05,10400.48
2024-04,10045.74
2024-03,9142.4
2024-02,9193.69
2024-01,8496.66
2023-12,7470.18
2023-11,7948.6
2023-10,7514.1
2023-09,8334.94
2023-08,7917.93
2023-07,7216.96
2023-06,5759.11
2023-05,4886.91
2023-04,4617.93
2023-03,4812.93
2023-02,5237.33
2023-01,4976.55
2022-12,5509.16
2022-11,4977.64
2022-10,3978.96
2022-09,3179.99
2022-08,3171.21
2022-07,2592.38
2022-06,2405.36
2022-05,2547.09
2022-04,2430.55
2022-03,2233.3
2022-02,1946.19
2022-01,2003.2
2021-12,1857.65
2021-11,1809.65
2021-10,1522.04
2021-09,1406.39
2021-08,1472.07
2021-07,1392.91
2021-06,1356.34
2021-05,1420.49
2021-04,1397.82
2021-03,1391.73
2021-02,1471.39
2021-01,1473.45
2020-12,1476.72
2020-11,1283.58
2020-10,1112.37
2020-09,1145.24
2020-08,1078.61
2020-07,1126.9
2020-06,1165.25
2020-05,1055.21
2020-04,1011.1
2020-03,896.44
2020-02,1059.94
2020-01,1191.4
2019-12,1144.25
2019-11,1069.04
2019-10,984.69
2019-09,1050.33
2019-08,967.18
2019-07,1020.83
2019-06,964.85
2019-05,905.9
2019-04,954.16
2019-03,937.84
2019-02,1045.3
2019-01,1040.74
2018-12,912.7
2018-11,954.16
2018-10,902.01
2018-09,999.57
2018-08,927.23
2018-07,969.52
2018-06,965.2
2018-05,1006.52
2018-04,1042.83
2018-03,1149.3
2018-02,1189.51
2018-01,1195.29
